dataTime,Temperature (ºC),Relative_Humidity (prc),Precipitation (mm),Solar_Radiation (W/m2),Wind_direction (º),Wind_Speed (Km/h),
20:15:00,19.31258131,27.67115413,0,254.5862964,52.23354409,6.010145164,
20:20:00,18.92254914,27.91086838,0,254.2581716,52.39043928,6.378599347,
20:25:00,20.15819449,27.74267456,0,254.161032,52.24866925,7.179322285,
20:30:00,19.10139954,26.31885162,0,253.9353121,51.11205034,6.708700855,
20:35:00,18.54819456,26.25545996,0,253.8831949,52.64559196,7.079572012,
20:40:00,19.09011311,27.91140912,0,252.7935402,52.77685292,6.70292982,
20:45:00,20.36740362,27.76284621,0,254.0533872,50.93584699,7.844057322,
20:50:00,20.13113062,26.69612818,0,254.0667741,52.4501292,6.887810999,
20:55:00,19.61795097,26.82387713,0,253.911403,52.24975345,6.471416713,
21:00:00,18.72053,30,0,98.79,51.842773,8.217153,
21:05:00,18.97943657,29.46693801,0,99.52895281,52.06035292,8.618929911,
21:10:00,18.08661645,30.08673893,0,99.41252373,52.63133139,8.278398397,
21:15:00,18.46920536,29.40849664,0,99.76310921,52.49022254,7.322533952,
21:20:00,19.12967486,30.63496516,0,98.60818937,51.72936288,8.261668119,
21:25:00,18.80383769,29.57040105,0,98.27542241,51.87429702,7.813673853,
21:30:00,18.46264805,30.54942121,0,98.1038867,52.13797646,7.367153367,
21:35:00,18.78692639,30.41873608,0,99.36123258,51.47460165,8.240234996,
21:40:00,18.73043263,29.80045103,0,98.78295953,51.70815186,8.473507129,
21:45:00,19.63860124,29.16148391,0,98.65257553,51.30007468,8.669126111,
21:50:00,18.41995068,30.69810174,0,99.52210672,52.02318393,8.053851774,
21:55:00,19.23243644,29.35938642,0,99.56511937,52.24908849,8.989446591,
22:00:00,17.360529,40,0,1.78,84.289406,7.2805495,
22:05:00,16.96634059,39.10284655,0,1.023661405,84.58049225,7.463787777,
22:10:00,17.05924339,40.74233173,0,0.879183814,83.9831128,7.29516837,
22:15:00,18.33247114,39.553094,0,1.043349975,83.54657249,7.720999613,
22:20:00,16.51517572,40.76171029,0,0.906057515,84.82478998,6.796011552,
